id;en;fr
B-Failed;He turned the lights on, I was hitting myself in every corner of the room.;Il a allumé la lumière, avant ça je me cognais partout dans la chambre.
B-Failed-2;He was watching television pretty loud, I went back to bed.;Il regardait la télé, le son était fort, je suis allé me recoucher.
B-Failed-3;He has broken something, it wakes me up every time.;Il a cassé quelque chose. Ce n'est pas la première fois, ça me réveille à chaque fois.
B-Failed-4;He has left the car engine turned on for a while before he left for work.;Il a laissé le moteur de la voiture tourner pendant un moment avant de partir au travail.
B-Failed-5;He has set his alarm sooner than before, he must appreciate silent mornings.;Il mets son réveil plus tôt que d'habitude, il doit apprécier les matins calmes.
G-Failed;She wanted to reassure me, like every time I had done this dream.;Elle a voulu me rassurer, comme quand je fais à chaque fois ce même rêve.
G-Failed-2;I haven't called her loud but she came right away, and she asked why I was crying.;Je ne l'ai pas appelé fort mais elle m'a aussitôt entendu, et elle m'a demandé pourquoi je pleurais.
G-Failed-3;She has opened the door, to see if we're sleeping well.;Elle a ouvert la porte de la chambre, sans doute pour vérifier que l'on dormait bien.
G-Failed-4;She was talking on phone, not even loud but I could sightly understand what she was saying.;Elle parlait au téléphone, pas très fort mais je comprenais presque ce qu'elle disait.
G-Failed-5;She didn't heard me when I woke up, she used to ask me why I was awoken.;Elle ne m'a pas entendu me lever, d'habitude elle m'aurait demandé pourquoi j’étais déjà debout.
P-Failed;He certainly didn't heard when I knocked at his door even if his room light were on.;Il n'a pas dû m'entendre quand j'ai frappé à sa porte, même si je voyais que la lumière était allumée.
P-Failed-2;He probably slams the door, I've heard him moving some fournitures.;Il avait dû claquer la porte de sa chambre, et je l'entendais qui bougeait des meubles.
R-Failed;She has been listening music loud in her headphone, this woke me up.;Elle écoutait fort sa musique avec son casque, c'est ce qui m'a réveillé.
B-1-2;He goes back from work later and later.;Il rentre de plus en plus tard de son travail.
G-1-2;She asks me if I want to eat sooner to have more time to play after.;Elle me demande toujours si je veux manger plus tôt pour continuer de jouer après le repas.
B-2-3;He would refuse to talk about it, but he surely knows.;Il ne voudra pas m'en parler, mais il doit savoir.
G-2-3;I know she's preparing it for a long time, I hope this will be a nice surprise.;Je sais qu'elle la prépare depuis longtemps, j'espère que ça sera une bonne surprise.
B-3-4;He goes for a walk after dinner, sometimes with the dog, in the dark.;Il va se promener après manger, parfois avec le chien, dans la nuit.
G-3-4;She was in the kitchen, I haven't seen what she was watching through the window.;Elle était dans la cuisine, je n'ai pas vu ce qu'elle regardait par la fenêtre.
